	wo shadowing		w shadowing	
	Raa	error	Raa	error
0.25	0.55219	0.00453	0.3006	0.00339
0.75	0.82358	0.0062	0.45072	0.00498
1.25	1.04969	0.00779	0.58759	0.0063
1.75	1.17858	0.00922	0.67943	0.00741
2.25	1.16389	0.00955	0.69083	0.00768
2.75	1.02653	0.00881	0.62541	0.00756
3.25	0.82539	0.00723	0.52477	0.00669
3.75	0.63393	0.00666	0.4183	0.00592
4.25	0.49247	0.00635	0.3277	0.0051
4.75	0.3943	0.00658	0.27883	0.00507
5.5	0.31622	0.00503	0.24407	0.00479
6.5	0.26142	0.00514	0.21626	0.00557
7.5	0.25606	0.00675	0.19844	0.00637
8.5	0.23979	0.00762	0.20188	0.00824
10	0.24255	0.00595	0.20802	0.00617
14	0.26076	0.01548	0.26057	0.01414
18	0.28796	0.02872	0.30526	0.03115
22	0.31312	0.04462	0.48252	0.07574
26	0.38938	0.08995	0.49723	0.09434
30	0.26662	0.08906	0.50482	0.14039
34	0.22776	0.11821	0.34272	0.1758
38	0.34137	0.25387	0.46544	0.22142
42	0.4115	0.4115	0.63162	0.36304
